time,ID,VS,RPM,eng_temp,break_on_off,TPS,PV_AC_CAN,CONF_TCU,break_PRES,CUR_GR
1715950420.4049318,790,0,55053,,,,,,,
1715950420.4063675,809,,,180,0,43,0,1,,
1715950420.4109442,1087,,,,,,,,,0
1715950420.4149356,790,0,55053,,,,,,,
1715950420.4163945,809,,,180,0,43,0,1,,
1715950420.420938,1087,,,,,,,,,0
1715950420.424966,790,0,55053,,,,,,,
1715950420.4264104,809,,,180,0,43,0,1,,
1715950420.4309406,1087,,,,,,,,,0
1715950420.4363973,790,0,55053,,,,,,,
1715950420.4366307,809,,,180,0,43,0,1,,
1715950420.440942,1087,,,,,,,,,0
1715950420.4451227,790,0,55053,,,,,,,
1715950420.4465628,809,,,180,0,43,0,1,,
1715950420.4509451,1087,,,,,,,,,0
1715950420.4549766,790,0,48141,,,,,,,
1715950420.4564276,809,,,180,0,43,0,1,,
1715950420.46094,1087,,,,,,,,,0
1715950420.46633,790,0,48141,,,,,,,
1715950420.466565,809,,,180,0,43,0,1,,
1715950420.471129,1087,,,,,,,,,0
1715950420.4749818,790,0,48141,,,,,,,
1715950420.476429,809,,,180,0,43,0,1,,
1715950420.4820898,1087,,,,,,,,,0
1715950420.4849408,790,0,48141,,,,,,,
1715950420.4863868,809,,,180,0,44,0,1,,
1715950420.4909012,1087,,,,,,,,,0
1715950420.494921,790,0,47629,,,,,,,
1715950420.4963806,809,,,180,0,43,0,1,,
1715950420.500906,1087,,,,,,,,,0
1715950420.504894,790,0,47629,,,,,,,
1715950420.5051262,809,,,180,0,43,0,1,,
1715950420.5109034,1087,,,,,,,,,0
1715950420.514903,790,0,47629,,,,,,,
1715950420.5163496,809,,,180,0,43,0,1,,
1715950420.5220263,1087,,,,,,,,,0
1715950420.5249016,790,0,47629,,,,,,,
1715950420.5263464,809,,,180,0,43,0,1,,
1715950420.5311291,1087,,,,,,,,,0
1715950420.5351002,790,0,47629,,,,,,,
1715950420.536552,809,,,180,0,43,0,1,,
1715950420.5419998,1087,,,,,,,,,0
1715950420.5449095,790,0,43021,,,,,,,
1715950420.5463526,809,,,180,0,43,0,1,,
1715950420.5510252,1087,,,,,,,,,0
1715950420.5548806,790,0,43021,,,,,,,
1715950420.5563257,809,,,180,0,43,0,1,,
1715950420.5619457,1087,,,,,,,,,0
1715950420.5662606,790,0,43021,,,,,,,
1715950420.566494,809,,,180,0,43,0,1,,
1715950420.570905,1087,,,,,,,,,0
1715950420.5749607,790,0,43021,,,,,,,
1715950420.5764136,809,,,180,0,43,0,1,,
